日期,最高气温,最低气温,天气,风向
2012-01-01,26℃,21℃,多云,东北风 3-4级
2012-01-02,26℃,21℃,多云,东北风 3-4级
2012-01-03,25℃,20℃,多云~小雨,东北风 3-4级
2012-01-04,24℃,19℃,阴~多云,东北风 3-4级
2012-01-05,23℃,17℃,多云,东北风 3-4级
2012-01-06,23℃,19℃,小雨~阴,东北风 3-4级
2012-01-07,25℃,20℃,多云,东北风 3-4级
2012-01-08,25℃,20℃,多云,东北风 3-4级
2012-01-09,26℃,19℃,多云,东北风 3-4级
2012-01-10,25℃,19℃,多云,东北风 3-4级
2012-01-11,26℃,20℃,多云,东北风 3-4级
2012-01-12,25℃,20℃,多云,东北风 3-4级
2012-01-13,24℃,22℃,阵雨,东风~东北风 3-4级
2012-01-14,26℃,22℃,多云,东风 3-4级
2012-01-16,27℃,22℃,多云,东南风 3-4级
2012-01-17,27℃,21℃,多云,东风 3-4级
2012-01-18,27℃,21℃,多云,东南风 3-4级
2012-01-19,28℃,22℃,多云,东南风 3-4级
2012-01-20,27℃,22℃,多云,东南风 3-4级
2012-01-21,29℃,21℃,多云,东南风 3-4级
2012-01-22,27℃,21℃,多云,东南风~东北风 3-4级~4-5级
2012-01-23,26℃,20℃,多云,东北风 4-5级
2012-01-24,25℃,19℃,小雨,东北风 3-4级
2012-01-25,24℃,18℃,阴~多云,东北风 3-4级~4-5级
2012-01-26,25℃,18℃,多云,东风 3-4级
2012-01-27,28℃,20℃,多云,东风 3-4级
2012-01-28,28℃,20℃,多云,东南风 3-4级
2012-01-29,28℃,18℃,多云,东北风 3-4级
2012-01-30,26℃,18℃,多云,东北风 3-4级
2012-01-31,24℃,19℃,多云,东北风 3-4级
2012-02-01,25℃,20℃,多云,东风 4-5级
2012-02-02,27℃,20℃,多云,东北风 3-4级
2012-02-03,26℃,21℃,多云,东风 3-4级
2012-02-04,25℃,21℃,多云,东北风~东南风 3-4级
2012-02-05,27℃,21℃,多云,东南风 3-4级
2012-02-06,28℃,22℃,多云,东南风 3-4级
2012-02-07,27℃,22℃,多云,东北风 4-5级
2012-02-08,26℃,20℃,多云,东北风 3-4级
2012-02-09,26℃,21℃,多云,东北风 3-4级
2012-02-10,27℃,21℃,多云,东风 3-4级
2012-02-11,27℃,20℃,多云,东北风 4-5级
2012-02-12,29℃,21℃,多云,东风 3-4级
2012-02-13,29℃,21℃,晴,东南风 3-4级
2012-02-14,29℃,21℃,多云,东南风 3-4级
2012-02-15,29℃,21℃,多云,东南风 3-4级
2012-02-16,27℃,21℃,多云,东北风 4-5级
2012-02-17,26℃,19℃,多云,东北风 3-4级
2012-02-18,29℃,21℃,多云,东南风 3-4级
2012-02-19,29℃,21℃,多云,东南风 3-4级
2012-02-20,27℃,20℃,多云,东风 3-4级
2012-02-21,27℃,21℃,多云,东风 3-4级
2012-02-22,28℃,22℃,多云,东南风 3-4级
2012-02-23,29℃,24℃,阴~多云,东南风 3-4级
2012-02-24,30℃,25℃,多云,南风 3-4级
2012-02-25,30℃,25℃,多云,东南风 3-4级
2012-02-26,29℃,23℃,多云,东北风 3-4级
2012-02-27,29℃,23℃,多云,东北风 3-4级
2012-02-28,28℃,21℃,阵雨,东北风 3-4级
2012-02-29,26℃,22℃,阴,东北风 3-4级
2012-03-01,29℃,23℃,多云,东南风 3-4级
2012-03-02,30℃,23℃,多云,东南风 3-4级
2012-03-03,31℃,23℃,多云,东南风 3-4级
2012-03-04,31℃,25℃,多云,东南风 3-4级
2012-03-05,31℃,25℃,多云,南风 3-4级
2012-03-06,30℃,26℃,多云,西南风 3-4级
2012-03-07,30℃,26℃,多云,西南风 3-4级
2012-03-08,31℃,25℃,多云,南风 3-4级
2012-03-09,29℃,25℃,多云,东南风~东北风 3-4级
2012-03-10,27℃,23℃,多云~阵雨,东北风 3-4级
2012-03-11,28℃,21℃,小雨,东北风 3-4级
2012-03-12,27℃,21℃,多云,东北风 3-4级
2012-03-13,27℃,23℃,阴,东北风 4-5级
2012-03-14,28℃,22℃,阴,东北风 3-4级
2012-03-15,28℃,24℃,多云,东南风 3-4级
2012-03-16,30℃,25℃,多云,东南风 3-4级
2012-03-17,31℃,24℃,多云,东南风 3-4级
2012-03-18,31℃,25℃,多云,南风 3-4级
2012-03-19,30℃,25℃,多云,南风 3-4级
2012-03-20,31℃,25℃,多云,东南风 3-4级
2012-03-21,31℃,25℃,多云,东南风 3-4级
2012-03-22,31℃,25℃,多云,东南风 3-4级
2012-03-23,31℃,21℃,多云~小雨,东南风~东北风 3-4级
2012-03-24,25℃,20℃,阵雨,东北风 4-5级
2012-03-25,26℃,22℃,多云,东北风 3-4级
2012-03-26,27℃,21℃,多云,东北风 3-4级
2012-03-27,28℃,23℃,多云,东风 3-4级
2012-03-28,29℃,24℃,多云,东风~东南风 3-4级
2012-03-29,30℃,24℃,多云,东南风 3-4级
2012-03-30,30℃,24℃,多云,东南风 3-4级
2012-03-31,27℃,20℃,阵雨,东北风 3-4级
2012-04-01,30℃,27℃,多云,微风 小于3级
2012-04-02,29℃,28℃,多云,微风 小于3级
2012-04-03,32℃,25℃,多云,微风 小于3级
2012-04-04,30℃,27℃,多云,微风 小于3级
2012-04-05,29℃,28℃,多云,微风 小于3级
2012-04-06,32℃,25℃,多云,微风 小于3级
2012-04-07,30℃,27℃,多云,微风 小于3级
2012-04-08,29℃,28℃,多云,微风 小于3级
2012-04-09,32℃,25℃,多云,微风 小于3级
2012-04-10,32℃,25℃,多云,微风 小于3级
2012-04-11,30℃,27℃,多云,微风 小于3级
2012-04-12,31℃,26℃,多云,微风 小于3级
2012-04-13,32℃,26℃,多云,微风 小于3级
2012-04-14,32℃,26℃,多云,微风 小于3级
2012-04-15,32℃,26℃,多云,微风 小于3级
2012-04-16,32℃,26℃,多云,微风 小于3级
2012-04-17,32℃,27℃,多云,微风 小于3级
2012-04-18,32℃,27℃,多云,微风 小于3级
2012-04-19,32℃,27℃,雷阵雨,微风 小于3级
2012-04-20,32℃,27℃,多云,西南风 3-4级
2012-04-21,31℃,24℃,多云转雷阵雨,西南风 3-4级
2012-04-22,31℃,25℃,雷阵雨,东北风 3-4级
2012-04-23,32℃,25℃,多云,西南风 3-4级
2012-04-24,31℃,27℃,多云,西南风 3-4级
2012-04-25,31℃,25℃,多云转雷阵雨,西南风~东北风 3-4级
2012-04-26,32℃,26℃,雷阵雨,东北风 3-4级
2012-04-27,32℃,27℃,雷阵雨转多云,东北风~南风 3-4级
2012-04-28,32℃,27℃,多云,西南风 3-4级
2012-04-29,32℃,27℃,多云,西南风 3-4级
2012-04-30,32℃,28℃,多云,西南风 3-4级
2012-05-01,33℃,28℃,多云,西南风 3-4级
2012-05-02,33℃,28℃,多云,西南风 3-4级
2012-05-03,33℃,28℃,多云,西南风 3-4级
2012-05-04,33℃,28℃,多云,西南风 3-4级
2012-05-05,33℃,28℃,多云,西南风 3-4级
2012-05-06,32℃,27℃,多云转雷阵雨,东南风 3-4级
2012-05-07,33℃,27℃,多云,东南风 3-4级
2012-05-08,33℃,27℃,多云,东南风 3-4级
2012-05-09,33℃,28℃,多云,南风 3-4级
2012-05-10,33℃,28℃,阵雨转多云,南风 3-4级
2012-05-11,33℃,28℃,多云,西南风 3-4级
2012-05-12,33℃,28℃,多云,南风 3-4级
2012-05-13,33℃,28℃,多云,西南风 3-4级
2012-05-14,32℃,28℃,多云,南风 3-4级
2012-05-15,32℃,26℃,雷阵雨,东南风 3-4级
2012-05-16,32℃,26℃,阵雨,东南风 3-4级
2012-05-17,32℃,25℃,阵雨,东南风 3-4级
2012-05-18,32℃,25℃,阵雨,东南风 3-4级
2012-05-19,32℃,26℃,多云,西南风 3-4级
2012-05-20,32℃,26℃,多云,西南风 3-4级
2012-05-21,33℃,26℃,雷阵雨,西南风 3-4级
2012-05-22,33℃,26℃,雷阵雨,西南风 3-4级
2012-05-23,32℃,26℃,雷阵雨,西南风 3-4级
2012-05-24,32℃,26℃,中到大雨转中雨,西南风 3-4级
2012-05-25,32℃,26℃,中雨,西南风 3-4级
2012-05-26,32℃,26℃,雷阵雨,西南风 3-4级
2012-05-27,32℃,26℃,阵雨,西南风 3-4级
2012-05-28,33℃,26℃,雷阵雨,东南风 3-4级
2012-05-29,33℃,25℃,雷阵雨,西南风 3-4级
2012-05-30,32℃,26℃,雷阵雨转阵雨,南风 3-4级
2012-05-31,32℃,26℃,雷阵雨,南风 3-4级
2012-06-01,31℃,25℃,中到大雨,东南风 3-4级
2012-06-02,32℃,25℃,雷阵雨,东风 3-4级
2012-06-03,32℃,25℃,雷阵雨,东南风 3-4级
2012-06-04,32℃,26℃,阵雨,东南风 3-4级
2012-06-05,32℃,26℃,雷阵雨,东南风 3-4级
2012-06-06,32℃,26℃,雷阵雨转阵雨,东南风 3-4级
2012-06-07,33℃,27℃,雷阵雨,东南风 3-4级
2012-06-08,32℃,27℃,多云转阵雨,西南风 3-4级
2012-06-09,33℃,27℃,多云,西南风 3-4级
2012-06-10,33℃,27℃,多云,西南风 3-4级
2012-06-11,33℃,27℃,多云,西南风 3-4级
2012-06-12,33℃,27℃,多云,西南风 3-4级
2012-06-13,34℃,27℃,多云,西南风 3-4级
2012-06-14,34℃,27℃,多云,西南风 3-4级
2012-06-15,33℃,27℃,雷阵雨转阵雨,西南风 3-4级
2012-06-16,32℃,26℃,大到暴雨,西南风 3-4级
2012-06-17,32℃,26℃,大到暴雨,西风 3-4级
2012-06-18,31℃,26℃,中到大雨,西风 4-5级
2012-06-19,32℃,26℃,中雨,西北风 4-5级~3-4级
2012-06-20,32℃,26℃,雷阵雨,西南风 3-4级
2012-06-21,32℃,25℃,多云,西南风 3-4级
2012-06-22,32℃,27℃,多云,西南风 3-4级
2012-06-23,32℃,27℃,多云,西南风 3-4级
2012-06-24,32℃,27℃,多云,西南风 3-4级
2012-06-25,32℃,28℃,多云,西南风 3-4级
2012-06-26,32℃,28℃,多云,西南风 3-4级
2012-06-27,32℃,27℃,多云,西南风 3-4级
2012-06-28,32℃,27℃,多云,西南风 3-4级
2012-06-29,32℃,27℃,阵雨,西南风 3-4级~4-5级
2012-06-30,32℃,27℃,中雨,西南风 3-4级~4-5级
2012-07-01,31℃,27℃,大雨转中到大雨,东南风 4-5级~3-4级
2012-07-02,32℃,26℃,阵雨,东南风 3-4级
2012-07-03,32℃,26℃,阵雨,东南风 3-4级
2012-07-04,32℃,26℃,阵雨,东南风 3-4级
2012-07-05,32℃,26℃,阵雨,东南风 3-4级
2012-07-06,32℃,26℃,阵雨,东南风 3-4级
2012-07-07,32℃,25℃,阵雨,东南风 3-4级
2012-07-08,32℃,26℃,阵雨,东南风 3-4级
2012-07-09,32℃,26℃,阵雨,东南风 3-4级
2012-07-10,32℃,27℃,阵雨转多云,东南风 3-4级
2012-07-11,32℃,27℃,多云,南风 3-4级
2012-07-12,32℃,27℃,多云转阵雨,南风 3-4级
2012-07-13,32℃,27℃,多云,西南风 3-4级
2012-07-14,32℃,27℃,多云,西南风 3-4级
2012-07-15,32℃,27℃,多云,西南风 3-4级
2012-07-16,33℃,28℃,多云,西南风 3-4级
2012-07-17,33℃,28℃,多云,西南风 3-4级
2012-07-18,33℃,28℃,多云,西南风 3-4级
2012-07-19,33℃,27℃,多云转阵雨,东南风 3-4级
2012-07-20,33℃,27℃,多云,东南风 3-4级
2012-07-21,33℃,27℃,多云,东南风 3-4级
2012-07-22,34℃,26℃,多云,西南风 3-4级
2012-07-23,32℃,26℃,中到大雨,西风 4-5级~5-6级
2012-07-24,29℃,26℃,大雨,西风~西南风 4-5级~5-6级
2012-07-25,31℃,26℃,雷阵雨转多云,西南风 4-5级~3-4级
2012-07-26,31℃,26℃,多云,西南风 3-4级
2012-07-27,32℃,27℃,多云,西南风 4-5级
2012-07-28,32℃,27℃,多云,西南风 4-5级
2012-07-29,31℃,26℃,阵雨转大雨,西南风 4-5级
2012-07-30,32℃,27℃,大雨,西南风 4-5级
2012-07-31,32℃,27℃,雷阵雨转多云,西南风 3-4级
2012-08-01,32℃,26℃,多云,西南风 4-5级
2012-08-02,32℃,26℃,多云,西南风 4-5级
2012-08-03,32℃,26℃,多云,西南风 4-5级
2012-08-04,32℃,26℃,多云,西南风 4-5级
2012-08-05,32℃,27℃,多云,西南风 4-5级
2012-08-06,32℃,27℃,多云,西南风 4-5级
2012-08-07,32℃,27℃,多云,西南风 4-5级
2012-08-08,32℃,27℃,多云,西南风 4-5级
2012-08-09,32℃,27℃,多云,西南风 4-5级
2012-08-10,32℃,27℃,多云,西南风 3-4级
2012-08-11,32℃,27℃,多云,西南风 3-4级
2012-08-12,31℃,27℃,多云,西南风 3-4级~4-5级
2012-08-13,32℃,27℃,多云,西南风 3-4级~4-5级
2012-08-14,32℃,27℃,雷阵雨转多云,西南风 3-4级~4-5级
2012-08-15,33℃,28℃,多云,西南风 3-4级
2012-08-16,33℃,26℃,多云转中到大雨,西北风 4-5级~5-6级
2012-08-17,30℃,25℃,大雨转暴雨,西北风~西南风 5-6级
2012-08-18,32℃,25℃,暴雨转多云,西南风 4-5级
2012-08-19,32℃,27℃,多云,西南风 3-4级
2012-08-20,33℃,27℃,多云,南风 3-4级
2012-08-21,32℃,27℃,多云转雷阵雨,南风 3-4级
2012-08-22,33℃,27℃,阵雨,东南风 4-5级
2012-08-23,32℃,27℃,多云转雷阵雨,东南风 3-4级
2012-08-24,32℃,27℃,多云转雷阵雨,东风 3-4级
2012-08-25,32℃,26℃,多云,东南风~西北风 3-4级
2012-08-26,33℃,27℃,多云,西北风 3-4级
2012-08-27,33℃,27℃,多云,西北风 3-4级
2012-08-28,32℃,28℃,多云,西北风~西南风 3-4级
2012-08-29,32℃,28℃,多云,西南风 4-5级
2012-08-30,32℃,27℃,阵雨转多云,西南风 3-4级
2012-08-31,31℃,25℃,雷阵雨,西南风 3-4级
2012-09-01,32℃,26℃,雷阵雨,东南风 3-4级
2012-09-02,31℃,26℃,中雨,东南风 3-4级
2012-09-03,31℃,26℃,雷阵雨,东南风 3-4级
2012-09-04,31℃,26℃,雷阵雨转中雨,东风 3-4级
2012-09-05,32℃,26℃,中雨,东风 3-4级
2012-09-06,31℃,26℃,雷阵雨,东风 3-4级
2012-09-07,31℃,25℃,雷阵雨转阵雨,东南风 3-4级
2012-09-08,32℃,26℃,阵雨转多云,东南风~东风 3-4级
2012-09-09,32℃,26℃,阵雨转多云,东南风 3-4级
2012-09-10,32℃,26℃,多云,东南风 3-4级
2012-09-11,34℃,26℃,阵雨转多云,东风 3-4级
2012-09-12,33℃,26℃,阵雨,东风 3-4级
2012-09-13,33℃,26℃,多云转雷阵雨,东风 3-4级
2012-09-14,31℃,25℃,阵雨,东北风 3-4级
2012-09-15,32℃,25℃,阵雨,东北风 3-4级
2012-09-16,32℃,25℃,多云,东北风 3-4级
2012-09-17,32℃,25℃,阵雨,东北风 3-4级
2012-09-18,32℃,26℃,多云,东北风 3-4级
2012-09-19,32℃,25℃,多云,东北风 3-4级
2012-09-20,32℃,26℃,多云,东风 3-4级
2012-09-21,32℃,26℃,多云,东南风 3-4级
2012-09-22,33℃,26℃,多云,东风 3-4级
2012-09-23,33℃,26℃,多云,东南风 3-4级
2012-09-24,33℃,26℃,多云,东南风 3-4级
2012-09-25,32℃,26℃,多云,东风 3-4级
2012-09-26,33℃,26℃,阵雨,东北风 3-4级
2012-09-27,32℃,25℃,多云,东北风 3-4级
2012-09-28,32℃,25℃,多云,东北风 3-4级
2012-09-29,33℃,25℃,多云,东北风 3-4级
2012-09-30,32℃,24℃,多云,东北风 3-4级
2012-10-01,32℃,25℃,阵雨,东风 3-4级
2012-10-02,32℃,25℃,多云,东北风 3-4级
2012-10-03,32℃,25℃,阵雨,东北风 3-4级
2012-10-04,32℃,24℃,多云,东北风 3-4级
2012-10-05,32℃,25℃,多云,东北风 3-4级
2012-10-06,31℃,25℃,阵雨转中雨,东北风 3-4级~4-5级
2012-10-07,32℃,25℃,多云,东北风 4-5级
2012-10-08,31℃,26℃,阵雨,东北风 3-4级
2012-10-09,32℃,26℃,多云,东北风 3-4级
2012-10-10,33℃,25℃,多云,东北风 3-4级
2012-10-11,33℃,25℃,多云,东北风 3-4级
2012-10-12,32℃,25℃,多云,东北风 3-4级
2012-10-13,32℃,25℃,多云,东风 3-4级
2012-10-14,32℃,25℃,多云,东风 3-4级
2012-10-15,32℃,25℃,多云,东北风 3-4级
2012-10-16,32℃,24℃,多云,东风 3-4级
2012-10-17,32℃,23℃,多云,东风 3-4级
2012-10-18,32℃,23℃,多云,东北风 3-4级
2012-10-19,30℃,24℃,阵雨,东北风 3-4级
2012-10-20,31℃,24℃,阵雨,东风 3-4级
2012-10-21,31℃,24℃,阵雨转多云,东风 3-4级
2012-10-22,31℃,24℃,多云,东风 3-4级
2012-10-23,32℃,25℃,多云,东风 3-4级
2012-10-24,32℃,25℃,多云,东风 3-4级
2012-10-25,32℃,25℃,多云,东北风 3-4级
2012-10-26,31℃,25℃,多云转阵雨,东北风 3-4级
2012-10-27,29℃,24℃,中雨转暴雨,东风 5-6级~6-7级
2012-10-28,28℃,24℃,暴雨,东南风 7-8级
2012-10-29,29℃,24℃,阵雨,南风 3-4级
2012-10-30,30℃,25℃,阵雨,南风 3-4级
2012-10-31,28℃,23℃,阵雨,东北风 4-5级
2012-11-01,29℃,23℃,多云,东北风 4-5级
2012-11-02,30℃,24℃,多云,东风 3-4级
2012-11-03,31℃,24℃,多云,东风 3-4级
2012-11-04,30℃,24℃,多云,东北风 3-4级
2012-11-05,31℃,24℃,多云,东北风 3-4级
2012-11-06,30℃,24℃,多云,东北风 3-4级
2012-11-07,30℃,24℃,阵雨,东南风 3-4级
2012-11-08,30℃,24℃,阵雨,东南风 3-4级
2012-11-09,31℃,25℃,多云,东南风 3-4级
2012-11-10,30℃,25℃,多云,东南风 3-4级
2012-11-11,29℃,23℃,多云转阵雨,东南风~东北风 3-4级~4-5级
2012-11-12,30℃,24℃,阵雨,东北风 4-5级
2012-11-13,30℃,25℃,多云,东北风 3-4级
2012-11-14,31℃,24℃,多云,东风 3-4级
2012-11-15,31℃,24℃,多云,东南风 3-4级
2012-11-16,31℃,25℃,阵雨,东南风 3-4级
2012-11-17,29℃,24℃,阵雨,东北风 3-4级
2012-11-18,30℃,25℃,多云,东北风 3-4级
2012-11-19,30℃,24℃,多云,东风 3-4级
2012-11-20,30℃,25℃,阵雨,东南风 3-4级
2012-11-21,30℃,25℃,多云,东南风 3-4级
2012-11-22,31℃,24℃,多云,南风 3-4级
2012-11-23,30℃,25℃,多云,南风 3-4级
2012-11-24,30℃,24℃,多云,东北风 3-4级
2012-11-25,31℃,25℃,多云,东北风~东风 3-4级
2012-11-26,31℃,25℃,多云,东南风 3-4级
2012-11-27,29℃,23℃,阵雨,东北风 3-4级
2012-11-28,31℃,24℃,多云,东北风 3-4级
2012-11-29,31℃,25℃,阵雨,东南风 3-4级
2012-11-30,31℃,24℃,多云,东南风 3-4级
2012-12-01,31℃,25℃,多云,南风 3-4级
2012-12-02,29℃,24℃,小雨,东北风 3-4级
2012-12-03,28℃,23℃,小雨,东风 3-4级
2012-12-04,29℃,22℃,多云,东风 3-4级
2012-12-05,30℃,23℃,多云,东北风 3-4级
2012-12-06,28℃,24℃,多云,东北风 4-5级
2012-12-07,29℃,22℃,多云,东北风 3-4级
2012-12-08,30℃,23℃,多云,东风 3-4级
2012-12-09,30℃,23℃,多云,东风 3-4级
2012-12-10,30℃,23℃,多云,东风 3-4级
2012-12-11,29℃,22℃,多云,东北风 4-5级
2012-12-12,29℃,22℃,多云,东北风 3-4级
2012-12-13,28℃,22℃,多云,东北风 3-4级
2012-12-14,30℃,23℃,多云,东南风 3-4级
2012-12-15,31℃,23℃,多云,东南风 3-4级
2012-12-16,30℃,23℃,多云,东南风 3-4级
2012-12-17,30℃,23℃,多云,东南风 3-4级
2012-12-18,29℃,23℃,多云转阵雨,东南风~东北风 3-4级
2012-12-19,29℃,23℃,多云,东北风 3-4级~4-5级
2012-12-20,29℃,23℃,多云,东风 3-4级
2012-12-21,30℃,24℃,多云,东南风 3-4级
2012-12-22,30℃,24℃,多云,东南风 3-4级
2012-12-23,26℃,22℃,阴,东北风 3-4级~4-5级
2012-12-24,26℃,20℃,阴,东北风 3-4级
2012-12-25,27℃,19℃,多云,东北风 3-4级
2012-12-26,28℃,20℃,多云,东北风 3-4级
2012-12-27,27℃,23℃,阵雨,东北风 3-4级
2012-12-28,29℃,23℃,多云,东风~东南风 3-4级
2012-12-29,29℃,23℃,多云,东南风 3-4级
2012-12-30,25℃,19℃,小雨,东北风 3-4级
2012-12-31,24℃,17℃,多云,东北风 3-4级
